between_centroid_variance,boundary,effective_rank,hierarchy_rsa,interpretation_status,model_seed,nearest_class_recovery,predictive_order,residual_covariance_trace,stage,within_between_ratio,within_dispersion
55.77628165394218,4,2.4047182286846054,0.12546504961847074,eligible,11,0.6235294117647059,3,325.6210362796529,s3,0.20817534326497136,267.9293367652423
68.09921929461242,5,2.4045614140434397,0.16487387548632745,eligible,11,0.6529411764705882,3,378.8536417691357,s3,0.22072450174206584,308.52587164058724
61.6776066288367,6,2.6086060341919004,0.16159724879520912,eligible,11,0.6529411764705882,3,362.6854752142101,s3,0.2063662914835501,298.8744246135251
73.5137574397485,7,2.8184282831905967,0.21436491831674157,eligible,11,0.8764705882352941,3,396.93241383640316,s3,0.22895507849111157,321.08375984467574
66.41195919180471,8,2.998281869601628,0.2084891624795504,eligible,11,0.8764705882352941,3,380.1636323523129,s3,0.21318996002162693,311.5154164996123
76.66398787911017,9,3.2245861036330608,0.2537272520064753,eligible,11,0.9529411764705882,3,388.40946387159073,s3,0.247734152670367,309.46071444029474
73.72500930196486,10,3.3313669705248934,0.24779527665030715,eligible,11,0.9588235294117647,3,380.0618124293617,s3,0.24243581588887084,304.101145407224
298.885986842473,11,2.822039771870854,0.7670704266131918,eligible,11,1.0,3,624.485126237877,s3,0.9284315889542775,321.9256974763576
291.14608285730185,12,2.855161107106004,0.7580766765490454,eligible,11,1.0,3,614.1564498982295,s3,0.9115472629207535,319.39768204152625
1.6516874150250804,0,20.12335838373341,-0.04637001272575177,eligible,23,0.8771929824561403,1,59.43759617800733,s3,0.028752423225664573,57.44515520567501
262.106491287092,1,1.4948318289936782,0.9953456055751565,eligible,23,1.0,1,324.7068202809662,s3,4.242162110842032,61.78606201181797
473.1567622489896,2,1.2821434657520694,0.9964204855735674,eligible,23,1.0,1,540.4140968181053,s3,7.163077731328811,66.05495290214927
565.5469610363464,3,2.22008312619407,0.85992044520473,eligible,23,1.0,1,935.044694177959,s3,1.5436502479292704,366.3698831905497
603.5615904438846,4,2.1743052692611866,0.8659869022434546,eligible,23,1.0,1,977.3358477031054,s3,1.6287981984498943,370.55639612199855
607.2465608353103,5,2.286798375124777,0.8903067279343414,eligible,23,1.0,1,1003.1807335435049,s3,1.5468080660228192,392.58042038868183
627.1160667188984,6,2.2604861891540375,0.8915729999000177,eligible,23,1.0,1,1026.687986053045,s3,1.5829751798042557,396.1629182212543
634.9936549617232,7,2.265828822932596,0.8851583911532799,eligible,23,1.0,1,1047.106970702152,s3,1.5540050297701695,408.61750302062785
638.2326253652909,8,2.269776073681236,0.8811405664926613,eligible,23,1.0,1,1054.5500258498553,s3,1.546138137305073,412.79146406819274
647.3520229060663,9,2.2510844291849073,0.8774792026969861,eligible,23,1.0,1,1061.2786751120348,s3,1.5773719234399146,410.39910326193376
650.2455332779028,10,2.251868200666581,0.8683460367205549,eligible,23,1.0,1,1068.882085542822,s3,1.56656788305865,415.0765123517427
634.8021673257383,11,2.306512432909254,0.831432993347259,eligible,23,1.0,1,1074.3394332675955,s3,1.4563644091969663,435.88140667431037
632.6281925499394,12,2.3111410243569415,0.8193311778696467,eligible,23,1.0,1,1073.9240604034378,s3,1.44556638558491,437.6334417042408
2.3808600413888215,0,20.192769459299555,0.09714864266716326,eligible,23,1.0,2,59.24088178072269,s3,0.04201705579806879,56.66413307041093
4.328907365870042,1,1.4967214506383706,-0.05696261784557017,eligible,23,0.5380116959064327,2,323.62959523886195,s3,0.013626549328107742,317.6818475095861
5.869957061148718,2,1.286459481166763,-0.059186231695765,eligible,23,0.5380116959064327,2,538.6896504500738,s3,0.011074541550508151,530.0406372820581
255.2361665679873,3,2.2745232244173703,0.41527914729147225,eligible,23,1.0,2,871.3067359562287,s3,0.4070008423452967,627.114590459193
